feature,mean_abs_shap
TCA: TCA cycle I (prokaryotic),0.023849195
PWY-5004: superpathway of L-citrulline metabolism,0.023663972
PWY-7663: gondoate biosynthesis (anaerobic),0.023624262
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Tyzzerella|s__Tyzzerella_nexilis,0.023598835
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Holdemanella|s__Holdemanella_biformis,0.023393229
PWY-7279: aerobic respiration II (cytochrome c) (yeast),0.023245877
PANTOSYN-PWY: pantothenate and coenzyme A biosynthesis I,0.023037171
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_stercorea,0.022914367
P163-PWY: L-lysine fermentation to acetate and butanoate,0.02278763
PWY-5845: superpathway of menaquinol-9 biosynthesis,0.022722138
HSERMETANA-PWY: L-methionine biosynthesis III,0.022498382
PWY-6609: adenine and adenosine salvage III,0.022363823
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_longum,0.022263344
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_pseudocatenulatum,0.022210497
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnoclostridium|s__Clostridium_scindens,0.02210824
"PWY-7385: 1,3-propanediol biosynthesis (engineered)",0.022065641
PWY-7221: guanosine ribonucleotides de novo biosynthesis,0.022015546
PWY-6126: superpathway of adenosine nucleotides de novo biosynthesis II,0.021866431
PWY66-409: superpathway of purine nucleotide salvage,0.021798681
"PWY-7388: octanoyl-_acyl-carrier protein_ biosynthesis (mitochondria, yeast)",0.021721162
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_vulgatus,0.021580802
PWY-6387: UDP-N-acetylmuramoyl-pentapeptide biosynthesis I (meso-diaminopimelate containing),0.021471037
"GLCMANNANAUT-PWY: superpathway of N-acetylglucosamine, N-acetylmannosamine and N-acetylneuraminate degradation",0.021445667
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis,0.021314526
PWY-7323: superpathway of GDP-mannose-derived O-antigen building blocks biosynthesis,0.021210313
PWY-5188: tetrapyrrole biosynthesis I (from glutamate),0.02114017
P562-PWY: myo-inositol degradation I,0.020782534
PWY-7332: superpathway of UDP-N-acetylglucosamine-derived O-antigen building blocks biosynthesis,0.020651922
PWY-4984: urea cycle,0.02039051
P108-PWY: pyruvate fermentation to propanoate I,0.020387465
PWY66-400: glycolysis VI (metazoan),0.02029507
