model,cohort,observed_auc,n_target,mean_probability,sd_probability,mean_confidence,mean_entropy,fraction_extreme,species_mean_shift,species_max_shift,species_prevalence_shift,domain_classifier_auc
mechanism_plus_parent,ThomasAM_2018b,0.6808035714285714,60,0.48072145360999347,0.08361154109444052,0.14339798675880353,0.9784907151260718,0.0,0.29184836799341973,1.52857249365842,0.1131898897542089,0.9472374250716705
parent_species_only,ThomasAM_2018b,0.6930803571428572,60,0.4931476116996657,0.08064922835780577,0.1335990878203018,0.9808696193401443,0.0,0.29184836799341973,1.52857249365842,0.1131898897542089,0.9472374250716705
pathway_rf,ThomasAM_2018b,0.8080357142857142,60,0.4481591853943556,0.18114099597130262,0.327396889696704,0.8917188061588065,0.0,0.29184836799341973,1.52857249365842,0.1131898897542089,0.9472374250716705
species_rf,ThomasAM_2018b,0.8102678571428571,60,0.46591552037817124,0.18889606074239595,0.3254735207502622,0.8865386216292062,0.016666666666666666,0.29184836799341973,1.52857249365842,0.1131898897542089,0.9472374250716705
species_source_only,ThomasAM_2018b,0.8549107142857142,60,0.5037460755348769,0.17513696065507572,0.287299406770062,0.9065850219422323,0.0,0.29184836799341973,1.52857249365842,0.1131898897542089,0.9472374250716705
stratified_joint_rf,ThomasAM_2018b,0.6819196428571428,60,0.42653478269709305,0.14786844161365326,0.2765281118024849,0.9175759491072555,0.0,0.29184836799341973,1.52857249365842,0.1131898897542089,0.9472374250716705
stratified_joint_xgb,ThomasAM_2018b,0.7455357142857142,60,0.35401637089671567,0.3766483430901366,0.748073062649928,0.40004311120446207,0.65,0.29184836799341973,1.52857249365842,0.1131898897542089,0.9472374250716705
stratified_source_only,ThomasAM_2018b,0.7020089285714286,60,0.4548523124476641,0.12555120305600048,0.2175453949890415,0.9468869264351499,0.0,0.29184836799341973,1.52857249365842,0.1131898897542089,0.9472374250716705
gene_family_enet,ThomasAM_2019_c,0.658125,80,0.4219901016482309,0.2770322583613517,0.5042085621507792,0.7228388185760951,0.175,0.1798549817804221,0.5459856152310854,0.076945685388348,0.6788919777601271
joint_rf,ThomasAM_2019_c,0.7775,80,0.5688372618433425,0.1683693686327333,0.297592668027665,0.8984549545386308,0.0,0.1798549817804221,0.5459856152310854,0.076945685388348,0.6788919777601271
joint_xgb,ThomasAM_2019_c,0.81875,80,0.5606863662258548,0.3893102598058465,0.7310321927754557,0.4372930277978653,0.5875,0.1798549817804221,0.5459856152310854,0.076945685388348,0.6788919777601271
mechanism_only,ThomasAM_2019_c,0.581875,80,0.5166103669482831,0.092097600937281,0.13449993923457287,0.9735267518122847,0.0,0.1798549817804221,0.5459856152310854,0.076945685388348,0.6788919777601271
mechanism_plus_parent,ThomasAM_2019_c,0.5446875,80,0.464780354507088,0.1723063774055812,0.29584919393581044,0.9062492255608318,0.0,0.1798549817804221,0.5459856152310854,0.076945685388348,0.6788919777601271
parent_species_only,ThomasAM_2019_c,0.521875,80,0.45786247100790023,0.16140115815238523,0.27891045259085256,0.9161144764906922,0.0,0.1798549817804221,0.5459856152310854,0.076945685388348,0.6788919777601271
pathway_rf,ThomasAM_2019_c,0.8212499999999999,80,0.5610087425209042,0.18648288302988766,0.3218598965389882,0.8806769578760976,0.0,0.1798549817804221,0.5459856152310854,0.076945685388348,0.6788919777601271
species_rf,ThomasAM_2019_c,0.835625,80,0.5701402704867938,0.18376474841675672,0.3175643455609562,0.879911273979524,0.0,0.1798549817804221,0.5459856152310854,0.076945685388348,0.6788919777601271
species_source_only,ThomasAM_2019_c,0.8450000000000001,80,0.5678977036384012,0.1629472018152886,0.2778515463558593,0.9043686374348228,0.0,0.1798549817804221,0.5459856152310854,0.076945685388348,0.6788919777601271
stratified_joint_rf,ThomasAM_2019_c,0.7606250000000001,80,0.5444066669821532,0.16418578779704274,0.2931341108489799,0.9124562379123293,0.0,0.1798549817804221,0.5459856152310854,0.076945685388348,0.6788919777601271
stratified_joint_xgb,ThomasAM_2019_c,0.8256249999999999,80,0.603660217957804,0.3677665623710748,0.7024669507401995,0.4725605077065408,0.4875,0.1798549817804221,0.5459856152310854,0.076945685388348,0.6788919777601271
stratified_source_only,ThomasAM_2019_c,0.75,80,0.5628457111554266,0.14847883312389284,0.26743376430029187,0.9212000806546996,0.0,0.1798549817804221,0.5459856152310854,0.076945685388348,0.6788919777601271
gene_family_enet,VogtmannE_2016,0.606508875739645,104,0.6162955953190826,0.21750948399607734,0.41459938077101877,0.8026565238841321,0.10576923076923077,0.27337342305477924,1.1970429000441218,0.12173903435107757,0.9676891933976954
joint_rf,VogtmannE_2016,0.7196745562130178,104,0.5294754081640138,0.12415458424536922,0.1966477821880725,0.9508329839901333,0.0,0.27337342305477924,1.1970429000441218,0.12173903435107757,0.9676891933976954
joint_xgb,VogtmannE_2016,0.7340976331360946,104,0.5162702933974708,0.35338656781158356,0.6439387573896406,0.5601998903037144,0.40384615384615385,0.27337342305477924,1.1970429000441218,0.12173903435107757,0.9676891933976954
mechanism_only,VogtmannE_2016,0.5784023668639052,104,0.48806946649009014,0.060007443846558955,0.08020818077283394,0.9877346661921063,0.009615384615384616,0.27337342305477924,1.1970429000441218,0.12173903435107757,0.9676891933976954
mechanism_plus_parent,VogtmannE_2016,0.6708579881656804,104,0.5187739120784826,0.09462121879187756,0.1509342528153876,0.9718712507547124,0.009615384615384616,0.27337342305477924,1.1970429000441218,0.12173903435107757,0.9676891933976954
parent_species_only,VogtmannE_2016,0.7059911242603552,104,0.5330383183791272,0.08852511771086738,0.1552715620918767,0.9737886291416119,0.0,0.27337342305477924,1.1970429000441218,0.12173903435107757,0.9676891933976954
pathway_rf,VogtmannE_2016,0.746301775147929,104,0.5170281312728465,0.13905281595218977,0.21847411568949848,0.9403218007541667,0.009615384615384616,0.27337342305477924,1.1970429000441218,0.12173903435107757,0.9676891933976954
species_rf,VogtmannE_2016,0.7559171597633135,104,0.5165732626465874,0.1394944935166871,0.21776566399643663,0.9398524809201619,0.0,0.27337342305477924,1.1970429000441218,0.12173903435107757,0.9676891933976954
species_source_only,VogtmannE_2016,0.7588757396449705,104,0.5332247446521616,0.12536075417989975,0.1903675513468119,0.948744279867878,0.0,0.27337342305477924,1.1970429000441218,0.12173903435107757,0.9676891933976954
stratified_joint_rf,VogtmannE_2016,0.6642011834319527,104,0.5107210291887052,0.1353859168226858,0.2143536157059675,0.9445492448730017,0.0,0.27337342305477924,1.1970429000441218,0.12173903435107757,0.9676891933976954
stratified_joint_xgb,VogtmannE_2016,0.7230029585798816,104,0.49010567244393033,0.34967544772499903,0.634006289496588,0.5682186505132645,0.4326923076923077,0.27337342305477924,1.1970429000441218,0.12173903435107757,0.9676891933976954
stratified_source_only,VogtmannE_2016,0.691568047337278,104,0.5122387574886601,0.11983068120916271,0.1857206146840185,0.9567063846231313,0.0,0.27337342305477924,1.1970429000441218,0.12173903435107757,0.9676891933976954
gene_family_enet,WirbelJ_2018,0.8117948717948718,125,0.38865194545917325,0.28070778910504135,0.5360049174746829,0.6983769213867549,0.184,0.2679654535907501,0.8955464000673132,0.11434415084566522,0.9282174629324547
joint_rf,WirbelJ_2018,0.852051282051282,125,0.4484778533276681,0.17633723534134746,0.3166658348292531,0.8977009608874905,0.0,0.2679654535907501,0.8955464000673132,0.11434415084566522,0.9282174629324547
joint_xgb,WirbelJ_2018,0.86,125,0.3653426040870836,0.3846802843584039,0.7675175391708035,0.3916851281203912,0.592,0.2679654535907501,0.8955464000673132,0.11434415084566522,0.9282174629324547
mechanism_only,WirbelJ_2018,0.541923076923077,125,0.4843331899811068,0.04439850070695305,0.07225111843248888,0.9934606332322884,0.0,0.2679654535907501,0.8955464000673132,0.11434415084566522,0.9282174629324547
mechanism_plus_parent,WirbelJ_2018,0.6284615384615385,125,0.4735576588217391,0.09186768717182232,0.1565073174764849,0.9731295561150101,0.0,0.2679654535907501,0.8955464000673132,0.11434415084566522,0.9282174629324547
parent_species_only,WirbelJ_2018,0.6496153846153847,125,0.47597835819739526,0.08646936993641269,0.14787465101904546,0.9764014103937416,0.0,0.2679654535907501,0.8955464000673132,0.11434415084566522,0.9282174629324547
pathway_rf,WirbelJ_2018,0.8615384615384615,125,0.4529232440418015,0.19637622679727132,0.3530472566345304,0.8745182956727038,0.016,0.2679654535907501,0.8955464000673132,0.11434415084566522,0.9282174629324547
species_rf,WirbelJ_2018,0.8817948717948718,125,0.46163346850017856,0.19925203019892856,0.35982983409983077,0.8737694356748684,0.008,0.2679654535907501,0.8955464000673132,0.11434415084566522,0.9282174629324547
species_source_only,WirbelJ_2018,0.8974358974358975,125,0.47112447490142795,0.19101694596301624,0.3396902425758246,0.885944857748822,0.008,0.2679654535907501,0.8955464000673132,0.11434415084566522,0.9282174629324547
