gene_id,n_outer_selections,n_heldout_evaluable,heldout_crc_enriched_fraction,heldout_median_auc,heldout_median_prevalence_difference,internal_nomination,external_confirmation_status
UniRef90_U2QN46,2,2,0.0,0.40169591543513955,-0.06896551724137934,False,not_yet_assessed
UniRef90_A8RVW4,2,2,0.0,0.35895166256157635,-0.06896551724137934,False,not_yet_assessed
UniRef90_C6IGG8,1,1,0.0,0.6303742653881843,-0.018867924528301883,False,not_yet_assessed
UniRef90_R6JD81,1,1,0.0,0.6023816888339004,-0.04021033096195481,False,not_yet_assessed
UniRef90_H1CG88,1,1,0.0,0.584319526627219,-0.019230769230769162,False,not_yet_assessed
UniRef90_F7LVW4,1,1,0.0,0.5691308382307454,-0.08536962573461182,False,not_yet_assessed
UniRef90_D4KU18,1,1,0.0,0.554283946798639,-0.042684812867305855,False,not_yet_assessed
UniRef90_A0A139L6J7,1,1,0.0,0.5541791791791791,-0.02202202202202208,False,not_yet_assessed
UniRef90_A0A0N7IAI2,1,1,0.0,0.5495562130177515,-0.07692307692307698,False,not_yet_assessed
UniRef90_R6JR19,1,1,0.0,0.547707100591716,-0.07692307692307698,False,not_yet_assessed
UniRef90_A0A139KLM2,1,1,0.0,0.5446953294154037,-0.0049489638107020895,False,not_yet_assessed
UniRef90_A5ZKA2,1,1,0.0,0.5436390532544378,-0.07692307692307698,False,not_yet_assessed
UniRef90_R6JIX7,1,1,0.0,0.540680473372781,-0.07692307692307698,False,not_yet_assessed
UniRef90_U2E0C4,1,1,0.0,0.540680473372781,-0.07692307692307698,False,not_yet_assessed
UniRef90_C9KYC3,1,1,0.0,0.5395710059171598,-0.07692307692307698,False,not_yet_assessed
UniRef90_R6RQF5,1,1,0.0,0.5392011834319527,-0.07692307692307698,False,not_yet_assessed
UniRef90_R6J9C5,1,1,0.0,0.5388313609467456,-0.07692307692307698,False,not_yet_assessed
UniRef90_R6JPW2,1,1,0.0,0.5384615384615384,-0.05769230769230771,False,not_yet_assessed
UniRef90_R7KUM4,1,1,0.0,0.5355029585798816,-0.019230769230769273,False,not_yet_assessed
UniRef90_W6P901,1,1,0.0,0.5351331360946746,-0.05769230769230771,False,not_yet_assessed
UniRef90_A0A174J813,1,1,0.0,0.5345784023668639,-0.07692307692307687,False,not_yet_assessed
UniRef90_A0A3E3DDI7,1,1,0.0,0.5344880915558305,-0.0049489638107020895,False,not_yet_assessed
UniRef90_R6SVV9,1,1,0.0,0.5340236686390533,-0.07692307692307698,False,not_yet_assessed
UniRef90_R6W1P0,1,1,0.0,0.5336538461538461,-0.05769230769230771,False,not_yet_assessed
UniRef90_R6D7Z6,1,1,0.0,0.5299556213017751,-0.07692307692307698,False,not_yet_assessed
UniRef90_D7J831,1,1,0.0,0.5286111970306218,-0.05907825549025669,False,not_yet_assessed
UniRef90_D0TNB9,1,1,0.0,0.5284763313609467,-0.05769230769230771,False,not_yet_assessed
UniRef90_A0A1Y4VQ01,1,1,0.0,0.5281065088757396,-0.05769230769230771,False,not_yet_assessed
UniRef90_A0A139K7B2,1,1,0.0,0.5277366863905325,-0.07692307692307698,False,not_yet_assessed
UniRef90_F0TH24,1,1,0.0,0.5274358974358975,-0.017948717948717996,False,not_yet_assessed
UniRef90_A0A0P0F8B5,1,1,0.0,0.5266272189349113,-0.07692307692307698,False,not_yet_assessed
UniRef90_R6K519,1,1,0.0,0.5255177514792899,-0.07692307692307698,False,not_yet_assessed
UniRef90_R7KXS5,1,1,0.0,0.5251479289940828,-0.07692307692307698,False,not_yet_assessed
UniRef90_Q8A375,1,1,0.0,0.5244082840236687,-0.07692307692307698,False,not_yet_assessed
UniRef90_A0A374P2P0,1,1,0.0,0.5153108567893597,-0.06155273739560774,False,not_yet_assessed
UniRef90_A0A395WMA6,1,1,0.0,0.5114644970414202,-0.0576923076923076,False,not_yet_assessed
UniRef90_A0A174CAP2,1,1,0.0,0.5071794871794871,0.0,False,not_yet_assessed
UniRef90_D4JXR3,1,1,0.0,0.5061538461538462,0.0,False,not_yet_assessed
UniRef90_A8RVS5,1,1,0.0,0.5043303433343643,-0.0451592947726569,False,not_yet_assessed
UniRef90_C7H8N4,1,1,0.0,0.49948717948717947,0.0,False,not_yet_assessed
UniRef90_B0NBI7,1,1,0.0,0.47788431797092484,-0.023816888339003972,False,not_yet_assessed
UniRef90_A0A0S2W2P8,1,1,0.0,0.4530325443786982,-0.05769230769230771,False,not_yet_assessed
UniRef90_A6NXR1,1,1,0.0,0.45205128205128203,-0.0012820512820513885,False,not_yet_assessed
